Steward name,Validator alias,Node IP address,Node port,Client IP address,Client port,Validator verkey,Validator BLS key,Validator BLS POP,Steward DID,Steward verkey
Province of BC,beta-bc-1,3.97.114.242,9701,3.97.114.242,9702,2zhY4uMfV2AhhqoPqSTwNEL3YYW7cL5UdH3fsDVfhNPm,442fGBDkMveGuFwVF14WUeUtpB8quta9DFFfmDhAtbWXUAB2PvbgFx1fzeSQBcQfxwxNe1521gCLadbjumbsHqdGobmfWH4iim2iFwWTTFwqssUMY2Bcw4tb5Z9YmEwHy8Tu76a7mN1ys5s3QiRx36zX1w5C6AC82rh4MspNHGd2mQP,RJHqaJiCfFFWCRwCz351m3g7sAegjLzXqvRaY6yRsWuCtH3KuexGLrgfeNvGmPeuTUL5yxMe3rg5wfmeGFVGtPsioMAxmLVDMrEPv7sA7bLu3hRRiCGgMbRxcBG728aQ83C2meAWnrybm4yP2cGbYRSqA5YdiG7XMLFhtxBJHZQpej,NXrSUtdxKeWxhoPJ7mV93R,Cjfgp4Van25onqDbsHVcAcqspFAuVjzrZwtz3WA533mL
Province of BC,beta-bc-2,3.98.97.8,9701,3.98.97.8,9702,BkoJk3NdgaAYJDxWRcRQ4znoLa4h2Wa5Ms5Dwmjh8TfP,4DD9QnJmXx63eQt2f8cGdbhFbZz4mXyskU95SeW3SHDALzhpzM4JLpZdJFqe3hjdafqEyRCcQJP9ztDYxAro1XJnRb86N8YqKthjMzeYCrM7DD9NQRPAX9DYQmESR6oYUkBJZYicD31WY2pGVmoWHfBW5QtJE3zvaHY56o91bYNV6hk,RbsGB2NHEyNg9TGhG6XUwufoaatUyNzj4Vdz5fdAALhDdUVGDHhYLxfDt73exdCsd8hFvN8VpWQ5QEEvxnGURbyUYgiZaf5jgJ2HNj2FzD87Pkp8TRwD4qsKXrmcuPyRx9jiZRCvPDCrzkjmtYWg9Lm3fMSJZVXq9jRTQfgpTYJ2tw,95cCAhFsghvLRDsoYXh2v4,5QQarhEK7EHnJwCyfVp1HLTnt4mBJHJrxULA3WreeDQX
Province of BC,beta-bc-3,3.99.184.99,9701,3.99.184.99,9702,9zGfs5saF4Xw3HTqD2aSQd6c4BjGWxjEHSrkKRD6LoQV,2MN1A4nGHATVm1YNidWJ6EePbxdNwXFRDXJsGVXzsfrU49NmZCj32Vgz1JY5tHjt4E3Lp9i1KST4GhzF1LKuJVMiAc4PgBky8TyXoWrfkp512rmY3dXLv8oiKtGcBsLPFMdt33iF4EyxKSvKHnwe1eAfA5jU6prJ4NvZNZRmPaVVXU8,RZyJMp5Jpge1L5RH8TnMSDp77WaTwf7J1Z3RGDv27VFGM34Q9yef39MLEKCu6gaUTF9eD4SbXWwL3sjXvVXcGAZgw6y3gH74KFfFWHakJb2RrLfYUMyBC4LzA2KxgGu1vpNMTSFEtpVbEpe5G29qfmsHQFxWQVGkcijCnf32EtqG4f,D5fV6gcPbZXQKYBcrVH8ZP,7atMcEqqQTquY8ZXzNftArdAkCbbfHFMexxdMhrYUDed
Province of BC,beta-bc-4,99.79.56.66,9701,99.79.56.66,9702,ApkJgR9fv7jupDyySmkrkrBejC7Ti7UouQDyTG3jRrUV,2h4MnxeVZc7994KKh6R5BbYyyM9uYznvxtd3s6L9QxwfV8QzVGrfXEx4Q7zjeQvL3kuSDuD51DrhZn79UEAhmFPcTwSnnydeZFk3hbiNTQQ26tKZKxuzR7PZMVaR1TdjWPDoDEm6BNGigUEcJBSkHp8rAbgkF8Hq7wVtt6Z3SudpKS8,RLfr2UoE2fzYscQpyrmrwzAddsvP1E3VQiKS9aankPDwdv9fkEo4Xsj1KjDArHTigaddsUvMvQGzBYDodTdByHtJAXKnnNob2xVa5kwiBZJn2VGvC4Fzj951zpgsXqC5cGiBbZ9mSx4cQGYmWUEeL95oDwy2f1X9vvVb2BPtBmYR5Z,Nktb31nCuHsgipDNDdZAnp,Crmp8BmD3nECRYm1pGuLMZgKpcrxfayQgz5dMU3LNbde
